Standard,TMP,NTC
48.8,42.00,46.31
48.8,41.94,46.34
48.8,41.94,46.31
48.8,42.00,46.31
48.8,41.94,46.31
48.8,41.81,46.34
48.8,41.81,46.31
48.8,41.94,46.36
48.8,41.81,46.31
48.8,41.69,46.34
48.8,41.69,46.31
48.8,41.56,46.29
48.7,41.44,46.34
48.7,41.50,46.34
48.7,41.63,46.29
48.7,41.81,46.34
48.7,41.88,46.39
48.5,41.94,46.34
48.5,42.06,46.34
48.5,42.13,46.36
48.5,42.13,46.36
48.4,42.19,46.41
48.4,42.19,46.39
48.4,42.19,46.46
48.5,42.25,46.41
48.5,42.25,46.41
48.5,42.31,46.41
48.5,42.31,46.39
48.6,42.31,46.43
48.6,42.31,46.43
48.6,42.38,46.46
48.6,42.31,46.46
48.6,42.38,46.43
48.7,42.38,46.46
48.7,42.38,46.46
48.7,42.38,46.48
48.7,42.38,46.46
48.7,42.38,46.48
48.7,42.44,46.48
48.7,42.44,46.53
48.7,42.38,46.48
48.7,42.44,46.51
48.8,42.44,46.48
48.8,42.44,46.48
48.7,42.31,46.53
48.7,42.38,46.48
48.7,42.38,46.48
48.7,42.38,46.51
48.7,42.38,46.48
48.7,42.38,46.51
48.7,42.44,46.46
48.7,42.44,46.53
48.7,42.44,46.48
48.7,42.44,46.53
48.7,42.44,46.51
48.7,42.44,46.53
48.6,42.44,46.53
48.6,42.50,46.55
48.6,42.50,46.53
48.6,42.50,46.58
48.6,42.50,46.55
48.6,42.50,46.60
48.6,42.50,46.58
48.6,42.56,46.60
48.6,42.56,46.58
48.7,42.56,46.58
48.7,42.56,46.60
48.7,42.56,46.58
48.7,42.56,46.63
48.7,42.63,46.60
48.7,42.63,46.63
48.7,42.63,46.60
48.7,42.63,46.58
48.7,42.63,46.63
48.8,42.63,46.70
48.8,42.63,46.63
48.8,42.69,46.68
48.8,42.69,46.65
48.8,42.69,46.68
48.7,42.69,46.65
48.7,42.69,46.65
48.7,42.69,46.65
48.7,42.69,46.63
48.7,42.69,46.68
48.7,42.69,46.70
48.7,42.69,46.70
48.7,42.75,46.68
48.7,42.75,46.70
48.7,42.75,46.68
48.7,42.75,46.70
48.7,42.75,46.70
48.7,42.75,46.65
48.7,42.75,46.72
48.6,42.75,46.70
48.6,42.75,46.75
48.7,42.75,46.72
48.7,42.75,46.72
48.7,42.81,46.72
48.7,42.81,46.72
48.7,42.81,46.75
48.7,42.81,46.77
48.7,42.81,46.75
48.7,42.81,46.80
48.7,42.81,46.75
48.7,42.81,46.72
48.7,42.88,46.77
48.7,42.81,46.77
48.7,42.88,46.80
48.7,42.81,46.77
48.7,42.88,46.77
48.7,42.88,46.77
48.8,42.88,46.77
48.8,42.88,46.82
48.8,42.88,46.80
48.8,42.88,46.77
48.8,42.88,46.80
48.8,42.88,46.77
48.8,42.88,46.82
48.7,42.88,46.80
48.7,42.88,46.80
48.7,42.94,46.82
48.7,42.94,46.82
48.7,42.94,46.87
48.7,42.94,46.82
48.7,42.94,46.87
48.7,42.94,46.85
48.7,42.94,46.85
48.7,42.94,46.85
48.7,42.94,46.87
48.7,42.94,46.85
48.7,42.94,46.89
48.7,42.94,46.87
48.7,42.94,46.87
48.7,43.00,46.87
48.7,43.00,46.87
48.7,43.00,46.89
48.7,43.00,46.92
48.7,43.00,46.87
48.7,43.00,46.89
48.7,43.00,46.92
48.7,43.00,46.89
48.7,43.00,46.87
48.7,43.00,46.89
48.8,43.00,46.92
48.8,43.00,46.89
48.8,43.00,46.87
48.8,43.06,46.94
48.8,43.06,46.89
48.8,43.06,46.94
48.8,43.06,46.89
48.8,43.06,46.89
48.8,43.06,46.94
48.8,43.06,46.92
48.8,43.06,46.89
48.8,43.06,46.92
48.7,43.06,46.92
48.7,43.06,46.92
48.7,43.06,46.94
48.7,43.06,46.92
48.7,43.13,46.97
48.7,43.13,46.94
48.7,43.13,46.94
48.7,43.13,46.94
48.7,43.13,46.97
48.8,43.13,46.94
48.8,43.13,46.92
48.8,43.13,46.94
48.8,43.13,46.97
48.8,43.13,46.99
48.8,43.13,46.94
48.8,43.13,46.92
48.8,43.13,46.94
48.8,43.13,46.94
48.8,43.13,46.97
48.8,43.13,46.94
48.8,43.19,46.99
48.7,43.19,46.97
48.7,43.19,47.01
48.7,43.19,46.99
48.7,43.19,46.97
48.7,43.19,46.97
48.7,43.19,46.94
48.7,43.19,46.97
48.7,43.19,46.99
48.7,43.19,46.97
48.7,43.19,46.94
48.7,43.19,46.97
48.7,43.19,46.97
48.7,43.19,46.99
48.7,43.19,46.99
48.7,43.19,46.97
48.7,43.19,46.92
48.7,43.19,46.97
48.7,43.19,46.97
48.7,43.19,46.97
48.7,43.19,46.99
48.7,43.19,46.97
48.7,43.19,46.99
48.7,43.25,46.97
48.7,43.25,46.97
48.7,43.25,46.99
48.7,43.25,46.99
48.7,43.25,47.01
48.7,43.25,46.99
48.7,43.25,47.01
48.7,43.25,46.97
48.7,43.25,46.99
48.7,43.25,46.97
48.7,43.25,46.99
48.7,43.25,46.99
48.7,43.25,46.97
48.7,43.25,46.99
48.7,43.25,46.99
48.7,43.25,47.01
48.7,43.25,46.99
48.7,43.25,46.99
48.7,43.31,46.99
48.7,43.25,46.99
48.7,43.31,46.99
48.7,43.25,46.97
48.7,43.31,46.99
48.7,43.31,46.99
48.7,43.31,47.01
48.7,43.31,46.99
48.7,43.31,46.99
48.7,43.31,46.99
