Standard,TMP_Mean,TMP_Variance,TMP_Error,TMP_Accuracy,TMP_DNL,TMP_INL,NTC_Mean,NTC_Variance,NTC_Error,NTC_Accuracy,NTC_DNL,NTC_INL
30.7,30.14,0.003,-0.56,98.176,0.111,0.089,30.72,0.002,0.02,99.935,0.1,0.1
30.8,30.222,0.002,-0.578,98.124,0.1,0.1,30.8,0.0,0.0,100.0,0.0,0.0
30.9,30.356,0.003,-0.544,98.238,0.112,0.075,30.9,0.002,0.0,99.928,0.2,0.1
31.0,30.43,0.002,-0.57,98.161,0.111,0.089,31.01,0.001,0.01,99.968,0.1,0.1
31.1,30.556,0.003,-0.544,98.249,0.113,0.088,31.111,0.001,0.011,99.964,0.087,0.087
31.2,30.65,0.003,-0.55,98.237,0.111,0.089,31.23,0.002,0.03,99.904,0.111,0.078
31.3,30.73,0.002,-0.57,98.179,0.111,0.089,31.33,0.002,0.03,99.904,0.111,0.089
31.4,30.844,0.003,-0.556,98.231,0.112,0.087,31.444,0.003,0.044,99.858,0.113,0.088
31.5,30.922,0.002,-0.578,98.166,0.113,0.088,31.544,0.003,0.044,99.859,0.1,0.1
31.6,31.09,0.001,-0.51,98.386,0.1,0.1,31.62,0.002,0.02,99.937,0.111,0.089
31.7,31.13,0.002,-0.57,98.202,0.111,0.078,31.73,0.002,0.03,99.905,0.111,0.078
31.8,31.222,0.002,-0.578,98.183,0.113,0.088,31.833,0.002,0.033,99.895,0.1,0.1
31.9,31.36,0.003,-0.54,98.307,0.111,0.089,31.95,0.003,0.05,99.843,0.111,0.089
32.0,31.4,0.0,-0.6,98.125,0.0,0.0,32.05,0.003,0.05,99.844,0.114,0.086
32.1,31.56,0.003,-0.54,98.318,0.111,0.089,32.15,0.003,0.05,99.844,0.111,0.089
32.2,31.64,0.003,-0.56,98.261,0.111,0.089,32.26,0.003,0.06,99.814,0.111,0.089
32.3,31.72,0.002,-0.58,98.204,0.111,0.089,32.36,0.003,0.06,99.814,0.111,0.089
32.4,31.88,0.002,-0.52,98.395,0.089,0.078,32.47,0.002,0.07,99.784,0.111,0.078
32.5,31.97,0.002,-0.53,98.369,0.111,0.089,32.59,0.001,0.09,99.723,0.1,0.1
32.6,32.1,0.0,-0.5,98.466,0.0,0.0,32.688,0.001,0.088,99.732,0.1,0.1
32.7,32.167,0.003,-0.533,98.369,0.1,0.1,32.767,0.002,0.067,99.796,0.1,0.1
